codigo,descripcion,tipo,afecto_afp,afecto_quinta,afecto_essalud
101,ALIMENTACION PRINCIPAL EN DINERO,INGRESO,S,S,S
102,ALIMENTACION PRINCIPAL EN ESPECIE,INGRESO,S,S,S
103,COMISIONES O DESTAJO,INGRESO,S,S,S
104,COMISIONES EVENTUALES A TRABAJADORES,INGRESO,S,S,S
105,TRABAJO EN SOBRETIEMPO (HORAS EXTRAS) 25%,INGRESO,S,S,S
106,TRABAJO EN SOBRETIEMPO (HORAS EXTRAS) 35%,INGRESO,S,S,S
107,TRABAJO EN DIA FERIADO O DIA DE DESCANSO,INGRESO,S,S,S
108,INCREMENTO EN SNP 3.3%,INGRESO,S,S,S
109,INCREMENTO POR AFILIACION A AFP 10.23%,INGRESO,S,S,S
110,INCREMENTO POR AFILIACION A AFP 3.00%,INGRESO,S,N,S
111,PREMIOS POR VENTAS,INGRESO,S,S,S
112,PRESTACIONES ALIMENTARIAS - SUMINISTROS DIRECTOS,INGRESO,S,S,S
113,PRESTACIONES ALIMENTARIAS - SUMINISTROS INDIRECTOS,INGRESO,N,S,N
114,VACACIONES TRUNCAS,INGRESO,S,S,S
115,REMUNERACION DIA DE DESCANSO Y FERIADOS,INGRESO,S,S,S
116,REMUNERACION EN ESPECIE,INGRESO,S,S,S
117,COMPENSACION VACACIONAL,INGRESO,S,S,S
118,REMUNERACION VACACIONAL,INGRESO,S,S,S
119,REMUNERACIONES DEVENGADAS,INGRESO,S,S,S
120,SUBVENCION ECONOMICA MENSUAL (PRACTICANTE SENATI),INGRESO,S,N,S
121,REMUNERACION O JORNAL BASICO,INGRESO,S,S,S
122,REMUNERACION PERMANENTE,INGRESO,S,S,S
123,REMUNERACION DE LOS SOCIOS DE COOPERATIVAS,INGRESO,S,S,S
124,REMUNERACION POR LA HORA DE PERMISO POR LACTANCIA,INGRESO,S,N,S
125,REMUNERACION INTEGRAL ANUAL - CUOTA,INGRESO,S,S,S
126,INGRESOS DEL CONDUCTOR DE LA MICROEMPRESA AFILIADO AL SIS,INGRESO,S,N,N
127,INGRESOS DEL CONDUCTOR DE LA MICROEMPRESA - SEGURO REGULAR,INGRESO,S,N,S
128,REMUNERACION QUE EXCEDE EL VALOR DE MERCADO (DIVIDENDOS),INGRESO,S,N,S
129,ESTIPENDIO MENSUAL INTERNO CIENCIAS DE LA SALUD,INGRESO,N,N,S
201,ASIGNACION FAMILIAR,INGRESO,S,S,S
202,ASIGNACION O BONIFICACION POR EDUCACION,INGRESO,N,S,N
203,ASIGNACION POR CUMPLEANOS,INGRESO,N,S,N
204,ASIGNACION POR MATRIMONIO,INGRESO,N,S,N
205,ASIGNACION POR NACIMIENTO DE HIJOS,INGRESO,N,S,N
206,ASIGNACION POR FALLECIMIENTO DE FAMILIARES,INGRESO,N,S,N
207,ASIGNACION POR OTROS MOTIVOS PERSONALES,INGRESO,S,S,S
208,ASIGNACION POR FESTIVIDAD,INGRESO,N,S,N
209,ASIGNACION PROVISIONAL DEMANDA TRABAJADOR DESPEDIDO,INGRESO,N,N,N
210,ASIGNACION VACACIONAL,INGRESO,S,S,S
211,ASIGNACION POR ESCOLARIDAD 30 JORNALES BASICOS/ANO,INGRESO,N,S,N
212,ASIGNACIONES OTORGADAS POR UNICA VEZ POR CONTINGENCIAS,INGRESO,N,S,N
213,ASIGNACIONES OTORGADAS REGULARMENTE,INGRESO,S,S,S
214,ASIGNACION POR FALLECIMIENTO 1 UIT,INGRESO,N,N,N
301,BONIFICACION POR 25 Y 30 ANOS DE SERVICIOS,INGRESO,S,S,S
302,BONIFICACION POR CIERRE DE PLIEGO,INGRESO,N,S,N
303,BONIFICACION POR PRODUCCION ALTURA TURNO ETC,INGRESO,S,S,S
304,BONIFICACION POR RIESGO DE CAJA,INGRESO,S,S,S
305,BONIFICACIONES POR TIEMPO DE SERVICIOS,INGRESO,S,S,S
306,BONIFICACIONES REGULARES,INGRESO,S,S,S
307,BONIFICACIONES CAFAE,INGRESO,N,N,N
308,COMPENSACION POR TRABAJOS EN DIAS DE DESCANSO Y FERIADOS,INGRESO,S,S,S
309,BONIFICACION POR TURNO NOCTURNO 20% JORNAL BASICO,INGRESO,S,S,S
310,BONIFICACION CONTACTO DIRECTO CON AGUA 20% JORNAL BASICO,INGRESO,S,S,S
311,BONIFICACION UNIFICADA DE CONSTRUCCION,INGRESO,S,S,S
312,BONIFICACION EXTRAORDINARIA TEMPORAL - LEY 29351 Y 30334,INGRESO,N,S,N
313,BONIFICACION EXTRAORDINARIA PROPORCIONAL - LEY 29351 Y 30334,INGRESO,N,S,N
314,BONIFICACION ESPECIAL POR TRABAJO AGRARIO LEY 31110,INGRESO,N,S,N
401,GRATIFICACIONES DE FIESTAS PATRIAS Y NAVIDAD,INGRESO,S,S,S
402,OTRAS GRATIFICACIONES ORDINARIAS,INGRESO,S,S,S
403,GRATIFICACIONES EXTRAORDINARIAS,INGRESO,N,S,N
404,AGUINALDOS DE JULIO Y DICIEMBRE,INGRESO,S,S,S
405,GRATIFICACIONES PROPORCIONAL,INGRESO,S,S,S
406,GRATIFICACIONES FIESTAS PATRIAS Y NAVIDAD - LEY 29351 Y 30334,INGRESO,N,S,N
407,GRATIFICACIONES PROPORCIONAL - LEY 29351 Y 30334,INGRESO,N,S,N
408,GRATIF FIESTAS PATRIAS NAVIDAD TRAB PESQ LEY 30334,INGRESO,N,S,N
409,GRATIFICACIONES PROPORCIONAL/TRUNCA TRAB PESQUEROS LEY 30334,INGRESO,N,S,N
410,GRATIF FORMA PARTE REMUNER EXCEDE VALOR DE MERCADO (DIVIDENDO),INGRESO,N,N,N
411,GRATIF PAGADAS INTERNOS SALUD DU 090-2020 NO GRAVADOS ESSALUD,INGRESO,N,N,N
501,INDEMNIZACION POR DESPIDO INJUSTIFICADO U HOSTILIDAD,INGRESO,N,N,N
502,INDEMNIZACION POR MUERTE O INCAPACIDAD,INGRESO,N,N,N
503,INDEMNIZACION POR RESOLUCION DE CONTRATO SUJETO A MODALIDAD,INGRESO,N,N,N
504,INDEMNIZACION POR VACACIONES NO GOZADAS,INGRESO,N,N,N
505,INDEMNIZACION POR RETENCION INDEBIDA DE CTS ART 52,INGRESO,N,N,N
506,INDEMNIZACION POR NO REINCORPORAR TRABAJADOR CESADO,INGRESO,N,N,N
507,INDEMNIZACION POR HORAS EXTRAS IMPUESTAS POR EMPLEADOR,INGRESO,N,N,N
700,DESCUENTOS AL TRABAJADOR,DESCUENTO,N,N,N
701,ADELANTO SUELDO,DESCUENTO,N,N,N
702,CUOTA SINDICAL,DESCUENTO,N,N,N
703,DESCUENTO AUTORIZADO U ORDENADO POR MANDATO JUDICIAL,DESCUENTO,N,N,N
704,TARDANZAS,DESCUENTO,S,S,S
705,INASISTENCIAS,DESCUENTO,S,S,S
706,OTROS DESCUENTOS NO DEDUCIBLES DE LA BASE IMPONIBLE,DESCUENTO,N,N,N
707,OTROS DESCUENTOS DEDUCIBLES DE LA BASE IMPONIBLE,DESCUENTO,S,S,S
901,BIENES DE LA EMPRESA OTORGADOS PARA CONSUMO DEL TRABAJADOR,INGRESO,N,S,N
902,BONO DE PRODUCTIVIDAD,INGRESO,N,S,N
903,CANASTA DE NAVIDAD O SIMILARES,INGRESO,N,S,N
904,COMPENSACION POR TIEMPO DE SERVICIOS,INGRESO,N,N,N
905,GASTOS DE REPRESENTACION - LIBRE DISPONIBILIDAD,INGRESO,S,S,S
906,INCENTIVO POR CESE DEL TRABAJADOR,INGRESO,N,N,N
907,LICENCIA CON GOCE DE HABER,INGRESO,S,S,S
908,MOVILIDAD DE LIBRE DISPOSICION,INGRESO,S,S,S
909,MOVILIDAD SUPEDITADA A ASISTENCIA Y QUE CUBRE SOLO EL TRASLADO,INGRESO,N,S,N
910,PARTICIPACION EN UTILIDADES PAGADAS ANTES DE DECLARACION IR,INGRESO,N,S,N
911,PARTICIPACION EN UTILIDADES PAGADAS DESPUES DE DECLARACION IR,INGRESO,N,S,N
912,PENSIONES DE JUBILACION O CESANTIA MONTEPIO O INVALIDEZ,INGRESO,N,N,N
913,RECARGO AL CONSUMO,INGRESO,N,S,N
914,REFRIGERIO QUE NO ES ALIMENTACION PRINCIPAL,INGRESO,N,S,N
915,SUBSIDIOS POR MATERNIDAD,INGRESO,S,N,N
916,SUBSIDIOS DE INCAPACIDAD POR ENFERMEDAD,INGRESO,S,N,N
917,CONDICIONES DE TRABAJO,INGRESO,N,N,N
918,IMPUESTO A LA RENTA DE QUINTA CATEGORIA ASUMIDO,INGRESO,S,N,S
